Layer,Honest Activation,Deceptive Activation,Net Vector Drift (Delta)
0,100.45762634277344,71.60801696777344,108.4163818359375
1,107.23928833007812,72.3647232055664,106.96328735351562
2,104.40887451171875,55.70493698120117,104.4573745727539
3,112.76036834716797,61.855491638183594,106.54131317138672
4,125.87740325927734,62.55915451049805,118.28438568115234
5,128.0269012451172,76.04077911376953,122.8990478515625
6,139.7162322998047,79.12407684326172,126.34010314941406
7,148.02700805664062,102.13204956054688,139.51324462890625
8,162.72802734375,107.91620635986328,148.68438720703125
9,171.52235412597656,115.61981964111328,157.33787536621094
10,188.69461059570312,147.7739715576172,171.3300323486328
11,209.7720947265625,186.45193481445312,189.16864013671875
12,200.77090454101562,184.09368896484375,192.52027893066406
13,235.12042236328125,214.42364501953125,212.8098602294922
14,268.2066955566406,227.17538452148438,226.951904296875
15,298.44073486328125,239.2663116455078,249.50701904296875
16,316.4395446777344,278.0142517089844,274.881103515625
17,312.8167419433594,257.9411926269531,282.26953125
18,339.3795471191406,280.23760986328125,306.74273681640625
19,391.6130065917969,304.653076171875,350.3547058105469
20,424.0733947753906,346.9329833984375,378.45074462890625
21,503.230712890625,389.44647216796875,425.75836181640625
22,547.142822265625,443.18450927734375,461.9613342285156
23,619.5714721679688,483.9043884277344,515.26806640625
24,763.8887329101562,620.808349609375,597.8858032226562
25,85.16838073730469,131.37351989746094,121.25479125976562
