Layer,Deviation Magnitude
0,108.4163818359375
1,106.96328735351562
2,104.4573745727539
3,106.54131317138672
4,118.28438568115234
5,122.8990478515625
6,126.34010314941406
7,139.51324462890625
8,148.68438720703125
9,157.33787536621094
10,171.3300323486328
11,189.16864013671875
12,192.52027893066406
13,212.8098602294922
14,226.951904296875
15,249.50701904296875
16,274.881103515625
17,282.26953125
18,306.74273681640625
19,350.3547058105469
20,378.45074462890625
21,425.75836181640625
22,461.9613342285156
23,515.26806640625
24,597.8858032226562
25,121.25479125976562
