Layer,Activation Norm,Prompt Type
0,100.45762634277344,Honest Audit Run
1,107.23928833007812,Honest Audit Run
2,104.40887451171875,Honest Audit Run
3,112.76036834716797,Honest Audit Run
4,125.87740325927734,Honest Audit Run
5,128.0269012451172,Honest Audit Run
6,139.7162322998047,Honest Audit Run
7,148.02700805664062,Honest Audit Run
8,162.72802734375,Honest Audit Run
9,171.52235412597656,Honest Audit Run
10,188.69461059570312,Honest Audit Run
11,209.7720947265625,Honest Audit Run
12,200.77090454101562,Honest Audit Run
13,235.12042236328125,Honest Audit Run
14,268.2066955566406,Honest Audit Run
15,298.44073486328125,Honest Audit Run
16,316.4395446777344,Honest Audit Run
17,312.8167419433594,Honest Audit Run
18,339.3795471191406,Honest Audit Run
19,391.6130065917969,Honest Audit Run
20,424.0733947753906,Honest Audit Run
21,503.230712890625,Honest Audit Run
22,547.142822265625,Honest Audit Run
23,619.5714721679688,Honest Audit Run
24,763.8887329101562,Honest Audit Run
25,85.16838073730469,Honest Audit Run
0,71.60801696777344,Deceptive Corporate Spin
1,72.3647232055664,Deceptive Corporate Spin
2,55.70493698120117,Deceptive Corporate Spin
3,61.855491638183594,Deceptive Corporate Spin
4,62.55915451049805,Deceptive Corporate Spin
5,76.04077911376953,Deceptive Corporate Spin
6,79.12407684326172,Deceptive Corporate Spin
7,102.13204956054688,Deceptive Corporate Spin
8,107.91620635986328,Deceptive Corporate Spin
9,115.61981964111328,Deceptive Corporate Spin
10,147.7739715576172,Deceptive Corporate Spin
11,186.45193481445312,Deceptive Corporate Spin
12,184.09368896484375,Deceptive Corporate Spin
13,214.42364501953125,Deceptive Corporate Spin
14,227.17538452148438,Deceptive Corporate Spin
15,239.2663116455078,Deceptive Corporate Spin
16,278.0142517089844,Deceptive Corporate Spin
17,257.9411926269531,Deceptive Corporate Spin
18,280.23760986328125,Deceptive Corporate Spin
19,304.653076171875,Deceptive Corporate Spin
20,346.9329833984375,Deceptive Corporate Spin
21,389.44647216796875,Deceptive Corporate Spin
22,443.18450927734375,Deceptive Corporate Spin
23,483.9043884277344,Deceptive Corporate Spin
24,620.808349609375,Deceptive Corporate Spin
25,131.37351989746094,Deceptive Corporate Spin
